API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:25:59 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Uranus (799)                    {source: ura184_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1600-Jan-31 00:00:00.0000 TDB
Stop  time      : A.D. 1699-Dec-17 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2305477.500000000, A.D. 1600-Jan-31 00:00:00.0000,  1.602672112454107E+01,  1.158760749814368E+01, -1.650935830420605E-01, -2.338971342347112E-03,  3.003680850945740E-03,  4.218190290415911E-05,  1.142262172005045E-01,  1.977765641894936E+01, -1.358872141471829E-04,
2305507.500000000, A.D. 1600-Mar-01 00:00:00.0000,  1.595627863042520E+01,  1.167751540530354E+01, -1.638261429050579E-01, -2.357092990726877E-03,  2.990149378446658E-03,  4.227490283499114E-05,  1.142026104974176E-01,  1.977356904501472E+01, -1.365379621158710E-04,
2305537.500000000, A.D. 1600-Mar-31 00:00:00.0000,  1.588529543889613E+01,  1.176701661888533E+01, -1.625531222105604E-01, -2.374989840035232E-03,  2.976551242070853E-03,  4.252806949002172E-05,  1.141789028974702E-01,  1.976946420133024E+01, -1.370396478028839E-04,
2305567.500000000, A.D. 1600-Apr-30 00:00:00.0000,  1.581377312431136E+01,  1.185610888846273E+01, -1.612748834114177E-01, -2.393094654432644E-03,  2.962891776655774E-03,  4.263271310235105E-05,  1.141550955760373E-01,  1.976534209140577E+01, -1.377342205707279E-04,
2305597.500000000, A.D. 1600-May-30 00:00:00.0000,  1.574171261362019E+01,  1.194478923904643E+01, -1.599908608772001E-01, -2.410951636657279E-03,  2.949130655446630E-03,  4.305867160132111E-05,  1.141311841926470E-01,  1.976120196371194E+01, -1.382837274185580E-04,
2305627.500000000, A.D. 1600-Jun-29 00:00:00.0000,  1.566911650143392E+01,  1.203305412406831E+01, -1.587014260794261E-01, -2.428730410130873E-03,  2.935185608580781E-03,  4.306918367490295E-05,  1.141071700912300E-01,  1.975704405094309E+01, -1.388693363476833E-04,
2305657.500000000, A.D. 1600-Jul-29 00:00:00.0000,  1.559598568609591E+01,  1.212089977120980E+01, -1.574070013455979E-01, -2.446602080721649E-03,  2.921168819846508E-03,  4.329072714122604E-05,  1.140830458997607E-01,  1.975286707667256E+01, -1.395640847077647E-04,
2305687.500000000, A.D. 1600-Aug-28 00:00:00.0000,  1.552232377532109E+01,  1.220832238614480E+01, -1.561071770373567E-01, -2.464240648229766E-03,  2.907001975546110E-03,  4.333028969865923E-05,  1.140588163616431E-01,  1.974867186219533E+01, -1.401556568473049E-04,
