API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:27:51 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Uranus (799)                    {source: ura184_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-27 00:00:00.0000 TDB
Stop  time      : A.D. 2399-Oct-05 00:00:00.0000 TDB
Step-size       : 303840 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451752.500000000, A.D. 2000-Jul-27 00:00:00.0000,  1.497560891562783E+01, -1.316899781130516E+01, -2.430831534960913E-01,  2.562377808893055E-03,  2.775317501980863E-03, -2.277153266183683E-05,  1.151851014869504E-01,  1.994368208650312E+01,  9.178612148110007E-05,
2451963.500000000, A.D. 2001-Feb-23 00:00:00.0000,  1.550353370944342E+01, -1.257286108362067E+01, -2.476973103015951E-01,  2.441314264336272E-03,  2.874214554834551E-03, -2.093340116505708E-05,  1.152932553843322E-01,  1.996240835333759E+01,  8.601581466516796E-05,
2452174.500000000, A.D. 2001-Sep-22 00:00:00.0000,  1.600561928898133E+01, -1.195639293545559E+01, -2.518945167065245E-01,  2.317257263806417E-03,  2.968157556643214E-03, -1.890499213637968E-05,  1.153946006847891E-01,  1.997995574815846E+01,  8.035260946709198E-05,
2452385.500000000, A.D. 2002-Apr-21 00:00:00.0000,  1.648123778479878E+01, -1.132067362530437E+01, -2.556725606772379E-01,  2.190384935344364E-03,  3.056818236305222E-03, -1.682381584687223E-05,  1.154893156474359E-01,  1.999635513557469E+01,  7.497940261983899E-05,
2452596.500000000, A.D. 2002-Nov-18 00:00:00.0000,  1.692983756112500E+01, -1.066676079876139E+01, -2.590290667570292E-01,  2.061049930310013E-03,  3.140590005084128E-03, -1.485697959943936E-05,  1.155776725028405E-01,  2.001165365084797E+01,  6.981764666932223E-05,
2452807.500000000, A.D. 2003-Jun-17 00:00:00.0000,  1.735084720429472E+01, -9.995713640180838E+00, -2.619629102851876E-01,  1.929199786326028E-03,  3.219350796345417E-03, -1.285136067638866E-05,  1.156596848637905E-01,  2.002585365095941E+01,  6.476171523034068E-05,
2453018.500000000, A.D. 2004-Jan-14 00:00:00.0000,  1.774372901676426E+01, -9.308551789854334E+00, -2.644732662065526E-01,  1.794303870072387E-03,  3.293217012540418E-03, -1.092798575451024E-05,  1.157352488309605E-01,  2.003893714629845E+01,  5.915736345021127E-05,
2453229.500000000, A.D. 2004-Aug-12 00:00:00.0000,  1.810795540377811E+01, -8.606345163459165E+00, -2.665578937647439E-01,  1.657354025859966E-03,  3.362133142716479E-03, -8.978980573633020E-06,  1.158042956172332E-01,  2.005089222674497E+01,  5.376358731471298E-05,
