API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:23:43 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1800-Jan-02 00:00:00.0000 TDB
Stop  time      : A.D. 1899-Dec-19 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2378497.500000000, A.D. 1800-Jan-02 00:00:00.0000, -6.249428075117486E-01,  3.524740823411170E-01,  4.079376400231194E-02, -1.002147842406939E-02, -1.771650635823315E-02,  3.476902576638065E-04,  4.150567408852288E-03,  7.186484693954028E-01,  4.511960512747948E-05,
2378527.500000000, A.D. 1800-Feb-01 00:00:00.0000, -6.804931998209601E-01, -2.367365780632412E-01,  3.628168526434436E-02,  6.509378131808219E-03, -1.919649983572175E-02, -6.285132659342213E-04,  4.166513376982267E-03,  7.214094281899033E-01,  1.276980921550120E-04,
2378557.500000000, A.D. 1800-Mar-03 00:00:00.0000, -2.810490336437733E-01, -6.687352254822686E-01,  7.496679356076240E-03,  1.850722977593619E-02, -7.926368839622285E-03, -1.175133608168034E-03,  4.189745713459511E-03,  7.254319825554201E-01,  1.246063195213646E-04,
2378587.500000000, A.D. 1800-Apr-02 00:00:00.0000,  3.043003162831605E-01, -6.608878729624256E-01, -2.627988044207990E-02,  1.823489369270902E-02,  8.389504764642085E-03, -9.453926072167037E-04,  4.204887114411289E-03,  7.280536348613890E-01,  4.011622531458496E-05,
2378617.500000000, A.D. 1800-May-02 00:00:00.0000,  6.915355235260321E-01, -2.220370888351735E-01, -4.293727954993629E-02,  6.074346249186518E-03,  1.916806392659344E-02, -1.001931926603088E-04,  4.202123061432177E-03,  7.275750539236288E-01, -7.022351296946611E-05,
2378647.500000000, A.D. 1800-Jun-01 00:00:00.0000,  6.269523359982027E-01,  3.613147929807775E-01, -3.154876371120357E-02, -1.016388956204721E-02,  1.743635410910843E-02,  8.169486516845705E-04,  4.183217678497942E-03,  7.243016883399145E-01, -1.353515393317409E-04,
2378677.500000000, A.D. 1800-Jul-01 00:00:00.0000,  1.484532346650104E-01,  7.049051423404636E-01,  6.523237637783214E-04, -1.986119914343479E-02,  4.068067657369644E-03,  1.202893691129938E-03,  4.160498560048050E-03,  7.203679949212255E-01, -1.111553685401813E-04,
2378707.500000000, A.D. 1800-Jul-31 00:00:00.0000, -4.287475066288748E-01,  5.755304549606989E-01,  3.236321875832889E-02, -1.629076534818225E-02, -1.219449076129177E-02,  7.829579010166783E-04,  4.149166725441257E-03,  7.184059485807071E-01, -1.160451683116809E-05,
