API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Apr 13 11:59:53 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 1999-Dec-18 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2415020.500000000, A.D. 1900-Jan-01 00:00:00.0000,  6.998542285711752E-01, -1.936805114475438E-01, -4.304705980257389E-02,  5.288666830610453E-03,  1.940378007975624E-02, -4.591194952865467E-05,  4.201312001575041E-03,  7.274346232625880E-01, -7.541822833911690E-05,
2415050.500000000, A.D. 1900-Jan-31 00:00:00.0000,  6.114401524306984E-01,  3.866605300686048E-01, -3.016641703895892E-02, -1.087429865671222E-02,  1.700819528358283E-02,  8.562893834248270E-04,  4.181871874246983E-03,  7.240686695572310E-01, -1.359210958308415E-04,
2415080.500000000, A.D. 1900-Mar-02 00:00:00.0000,  1.190597785366981E-01,  7.102843656303406E-01,  2.627766171310674E-03, -2.001742800823672E-02,  3.242828161391589E-03,  1.200493420959083E-03,  4.159520187052832E-03,  7.201985948883503E-01, -1.066175171921298E-04,
2415110.500000000, A.D. 1900-Apr-01 00:00:00.0000, -4.523831150355914E-01,  5.570769789670074E-01,  3.360786318250409E-02, -1.577262851326706E-02, -1.285978549019924E-02,  7.395350708693418E-04,  4.149197374456761E-03,  7.184112552932383E-01, -5.241341090947216E-06,
2415140.500000000, A.D. 1900-May-01 00:00:00.0000, -7.181723635107533E-01,  2.754844945194854E-02,  4.188164394899301E-02, -8.914363029713544E-04, -2.030092602851610E-02, -2.202771237300042E-04,  4.157910060009217E-03,  7.199198100328248E-01,  9.962264273636939E-05,
2415170.500000000, A.D. 1900-May-31 00:00:00.0000, -5.015092607366938E-01, -5.212881993793642E-01,  2.200948944000686E-02,  1.443268383491422E-02, -1.411863112162870E-02, -1.023291409288297E-03,  4.179725270885274E-03,  7.236969967066704E-01,  1.371141148654763E-04,
2415200.500000000, A.D. 1900-Jun-30 00:00:00.0000,  4.818643049446700E-02, -7.255162069119776E-01, -1.249915964255251E-02,  2.004541982421653E-02,  1.266546458375039E-03, -1.141730093825583E-03,  4.200084350535193E-03,  7.272220620742413E-01,  8.427675209768188E-05,
2415230.500000000, A.D. 1900-Jul-30 00:00:00.0000,  5.670178203354356E-01, -4.552492514262521E-01, -3.887021356272636E-02,  1.253442279960269E-02,  1.569251315253399E-02, -5.143950030708115E-04,  4.205719532949971E-03,  7.281977636635003E-01, -2.302825950039364E-05,
