API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:26:04 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1700-Jan-16 00:00:00.0000 TDB
Stop  time      : A.D. 1799-Dec-03 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2341987.500000000, A.D. 1700-Jan-16 00:00:00.0000,  6.649131468910020E-01, -2.930864344764190E-01, -4.229439308906688E-02,  8.040004135933395E-03,  1.842003368104721E-02, -2.295623661853999E-04,  4.203839341704797E-03,  7.278722186409975E-01, -5.914271958339499E-05,
2342017.500000000, A.D. 1700-Feb-15 00:00:00.0000,  6.617860422589097E-01,  2.935593800755325E-01, -3.458498998071091E-02, -8.270772747661371E-03,  1.839891150483025E-02,  7.154178130261132E-04,  4.186091530652787E-03,  7.247992804156252E-01, -1.339013823454599E-04,
2342047.500000000, A.D. 1700-Mar-17 00:00:00.0000,  2.224140695247739E-01,  6.855501580850413E-01, -4.092032690230888E-03, -1.930921909448865E-02,  6.144812206247362E-03,  1.197870649365853E-03,  4.162637605257540E-03,  7.207383591182961E-01, -1.206634051185817E-04,
2342077.500000000, A.D. 1700-Apr-16 00:00:00.0000, -3.650151186752646E-01,  6.180698741597154E-01,  2.908495387851079E-02, -1.748724305472272E-02, -1.039903916927848E-02,  8.799795760835753E-04,  4.149107369641624E-03,  7.183956714425825E-01, -2.593357278065955E-05,
2342107.500000000, A.D. 1700-May-16 00:00:00.0000, -7.056548660933626E-01,  1.331212537627355E-01,  4.260261246417608E-02, -3.857139299257763E-03, -1.996817398746447E-02, -3.271659087628242E-05,  4.154701881147300E-03,  7.193643310822249E-01,  8.650268608898653E-05,
2342137.500000000, A.D. 1700-Jun-15 00:00:00.0000, -5.713760705690930E-01, -4.421266775323423E-01,  2.743882109855978E-02,  1.223248028434238E-02, -1.609409300143512E-02, -9.154320387617552E-04,  4.175581932623144E-03,  7.229795999252286E-01,  1.399250718976988E-04,
2342167.500000000, A.D. 1700-Jul-15 00:00:00.0000, -5.687246017430422E-02, -7.245543213913068E-01, -6.002123290307049E-03,  2.002554355246050E-02, -1.662783150452418E-03, -1.181860086344645E-03,  4.197691330177781E-03,  7.268077234434752E-01,  1.003958222200358E-04,
2342197.500000000, A.D. 1700-Aug-14 00:00:00.0000,  4.956565645415489E-01, -5.324873616550015E-01, -3.555734850288752E-02,  1.466940376672188E-02,  1.370506009050759E-02, -6.742284759636569E-04,  4.206554461261850E-03,  7.283423270193701E-01, -3.859774499873069E-06,
