API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:28:04 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : B.C. 0001-Mar-27 00:00:00.0000 TDB
Stop  time      : A.D. 3998-Mar-31 00:00:00.0000 TDB
Step-size       : 1164960 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
1721143.500000000, B.C. 0001-Mar-27 00:00:00.0000,  6.950105488979009E-01, -2.126548011826739E-01, -4.260924948700829E-02,  5.789198218929779E-03,  1.924133777131294E-02, -1.851736211192160E-04,  4.204947325877189E-03,  7.280640601535351E-01, -8.284836556372484E-05,
1721952.500000000, A.D. 0002-Jun-14 00:00:00.0000, -6.748104967064661E-01, -2.519927154026124E-01,  3.766738294113577E-02,  6.926627794730434E-03, -1.905501604007875E-02, -5.615762090229626E-04,  4.165940131399705E-03,  7.213101737940785E-01,  1.475245866023229E-04,
1722761.500000000, A.D. 0004-Aug-31 00:00:00.0000,  4.149924016470268E-01,  5.904361604116326E-01, -1.964126580898344E-02, -1.662669940561403E-02,  1.153503323541723E-02,  1.071554953388557E-03,  4.169665577922177E-03,  7.219552148637597E-01, -1.527793933144309E-04,
1723570.500000000, A.D. 0006-Nov-18 00:00:00.0000,  3.027405481042316E-02, -7.270582307026787E-01, -7.666972877032978E-03,  2.005523378497501E-02,  7.496585818964752E-04, -1.173866914522025E-03,  4.203010093584309E-03,  7.277286387797798E-01,  9.771198584622211E-05,
1724379.500000000, A.D. 0009-Feb-04 00:00:00.0000, -4.402411910203867E-01,  5.660480768735253E-01,  3.048676277383688E-02, -1.604872269682537E-02, -1.253787619044737E-02,  8.426379079353486E-04,  4.145326428361396E-03,  7.177410217534548E-01, -8.418927005950431E-06,
1725188.500000000, A.D. 0011-Apr-24 00:00:00.0000,  6.971724361463855E-01, -2.052503419055017E-01, -4.268243550879683E-02,  5.584113603989290E-03,  1.930352638562650E-02, -1.720147572454786E-04,  4.204636444272570E-03,  7.280102326722983E-01, -8.464619599017835E-05,
1725997.500000000, A.D. 0013-Jul-11 00:00:00.0000, -6.721159247327315E-01, -2.592767606548798E-01,  3.744029548688343E-02,  7.130857262001846E-03, -1.897760541900180E-02, -5.735014353188799E-04,  4.166251046171715E-03,  7.213640070180711E-01,  1.472450399575354E-04,
1726806.500000000, A.D. 0015-Sep-28 00:00:00.0000,  4.085346927651758E-01,  5.948596451877810E-01, -1.920360350377869E-02, -1.675186942034190E-02,  1.135529828432253E-02,  1.077761016518839E-03,  4.169297724691251E-03,  7.218915230512127E-01, -1.518344657075092E-04,
