API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:25:23 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jul-27 00:00:00.0000 TDB
Stop  time      : A.D. 2999-Dec-27 00:00:00.0000 TDB
Step-size       : 303840 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451752.500000000, A.D. 2000-Jul-27 00:00:00.0000, -6.487955496751052E-01,  3.066699564550711E-01,  4.164010796529830E-02, -8.731532714395092E-03, -1.838245838945522E-02,  2.527397759189701E-04,  4.151613661439563E-03,  7.188296224153112E-01,  5.308067931163224E-05,
2451963.500000000, A.D. 2001-Feb-23 00:00:00.0000, -4.842185635365500E-01,  5.295842749144981E-01,  3.518736900968002E-02, -1.499879783635426E-02, -1.375637212496635E-02,  6.777061379625856E-04,  4.149400525286785E-03,  7.184464297690804E-01,  1.927327827786006E-06,
2452174.500000000, A.D. 2001-Sep-22 00:00:00.0000, -2.479699987681982E-01,  6.741992582674038E-01,  2.353052905045260E-02, -1.905189176476534E-02, -7.095328646045083E-03,  1.002667817771072E-03,  4.151097083476513E-03,  7.187401797136515E-01, -4.977379821257155E-05,
2452385.500000000, A.D. 2002-Apr-21 00:00:00.0000,  2.491551503278059E-02,  7.192647651788360E-01,  8.395942995202441E-03, -2.028379221306889E-02,  5.940389101944451E-04,  1.178892904438121E-03,  4.156901292651339E-03,  7.197451473791909E-01, -9.477237211488790E-05,
2452596.500000000, A.D. 2002-Nov-18 00:00:00.0000,  2.941459611966118E-01,  6.585444626818511E-01, -7.971909790670386E-03, -1.853359953250994E-02,  8.156089552881461E-03,  1.181298353988036E-03,  4.165851414460419E-03,  7.212948129322138E-01, -1.245718658150631E-04,
2452807.500000000, A.D. 2003-Jun-17 00:00:00.0000,  5.203811075751555E-01,  5.015349382540156E-01, -2.317670316253469E-02, -1.409729056239192E-02,  1.447762704820338E-02,  1.011693003981324E-03,  4.176266686434458E-03,  7.230981613723610E-01, -1.360473621439233E-04,
2453018.500000000, A.D. 2004-Jan-14 00:00:00.0000,  6.711737393048278E-01,  2.716854248475198E-01, -3.502340216901649E-02, -7.655779196481131E-03,  1.866012457531450E-02,  6.971079423665787E-04,  4.186807832827765E-03,  7.249233042925955E-01, -1.284124388219866E-04,
2453229.500000000, A.D. 2004-Aug-12 00:00:00.0000,  7.253497598188281E-01,  2.614288636993247E-03, -4.183017530922262E-02, -1.589592542790597E-04,  2.013342092935459E-02,  2.845899962246569E-04,  4.196258367332427E-03,  7.265596136179806E-01, -1.026356700654979E-04,
