API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat May  2 13:25:44 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 4000-Jun-17 00:00:00.0000 TDB
Stop  time      : A.D. 7998-Jun-23 00:00:00.0000 TDB
Step-size       : 1164960 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
3182197.500000000, A.D. 4000-Jun-17 00:00:00.0000,  3.387597133091629E-01,  6.373457634001932E-01, -6.676875554348660E-03, -1.791420533023955E-02,  9.408454012566871E-03,  1.175691162732008E-03,  4.168837568931901E-03,  7.218118495512869E-01, -1.108636556909399E-04,
3183006.500000000, A.D. 4002-Sep-04 00:00:00.0000,  1.144234875094189E-01, -7.176005158273795E-01, -2.005902358411106E-02,  1.985286900819818E-02,  3.131320136418896E-03, -1.044125789229924E-03,  4.198470532841219E-03,  7.269426382024149E-01,  6.264828242072971E-05,
3183815.500000000, A.D. 4004-Nov-21 00:00:00.0000, -5.066029512795488E-01,  5.089147949652993E-01,  3.788707017862636E-02, -1.439989073649950E-02, -1.436301129646572E-02,  5.264135865639832E-04,  4.153060534856250E-03,  7.190801407815695E-01,  7.540834989256247E-06,
3184624.500000000, A.D. 4007-Feb-08 00:00:00.0000,  7.155572731349538E-01, -1.187682256101617E-01, -4.205333378246834E-02,  3.233756764454289E-03,  1.987351408615394E-02,  1.997397966785805E-04,  4.196289024210573E-03,  7.265649216918862E-01, -7.542829965997639E-05,
3185433.500000000, A.D. 4009-Apr-27 00:00:00.0000, -6.383707803846619E-01, -3.367911811707283E-01,  2.905400000703724E-02,  9.308974179308021E-03, -1.796703481207791E-02, -8.608188214856038E-04,  4.171946327856618E-03,  7.223501144733802E-01,  1.156662584392281E-04,
3186242.500000000, A.D. 4011-Jul-15 00:00:00.0000,  3.317928647365290E-01,  6.409444455211029E-01, -6.195061161741286E-03, -1.801636311082477E-02,  9.214364038676296E-03,  1.177718726663184E-03,  4.168526782130163E-03,  7.217580384846604E-01, -1.095953413753269E-04,
3187051.500000000, A.D. 4013-Oct-01 00:00:00.0000,  1.221146551926271E-01, -7.163288816936921E-01, -2.048189150754045E-02,  1.981804477641700E-02,  3.345118331422903E-03, -1.037784944379658E-03,  4.198522033256823E-03,  7.269515552229574E-01,  6.207377822869225E-05,
3187860.500000000, A.D. 4015-Dec-19 00:00:00.0000, -5.121228017110540E-01,  5.033801716559447E-01,  3.809342426364164E-02, -1.424346420859874E-02, -1.451759735215716E-02,  5.141221285622124E-04,  4.153205993909571E-03,  7.191053262359260E-01,  8.506155581697576E-06,
