API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Wed Apr 15 12:09:38 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1800-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 1899-Dec-18 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -2.250166372828223E-01,  9.571256442418263E-01,  4.265711732381446E-04, -1.703199873145636E-02, -4.005534805178535E-03, -2.864111338769247E-06,  5.678606894540543E-03,  9.832203048566308E-01, -1.340718781722787E-06,
2378526.500000000, A.D. 1800-Jan-31 00:00:00.0000, -6.817013241615481E-01,  7.118317080161319E-01,  2.966829408434190E-04, -1.270585730431131E-02, -1.196725952297793E-02, -6.489282503557162E-06,  5.692391312126777E-03,  9.856070027762278E-01,  1.450101681309110E-04,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000, -9.535114758763551E-01,  2.730400961832677E-01,  8.603961063000201E-05, -5.013495550082013E-03, -1.660507697820464E-02, -8.264896435717404E-06,  5.728356475345140E-03,  9.918341777507406E-01,  2.486030633158679E-04,
2378586.500000000, A.D. 1800-Apr-01 00:00:00.0000, -9.711804427709113E-01, -2.390634354065784E-01, -1.476956911225312E-04,  3.836343252790408E-03, -1.676766839998172E-02, -7.772526222481750E-06,  5.776508171563224E-03,  1.000171385505062E+00,  2.827075685809758E-04,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -7.358595513504435E-01, -6.894757310371621E-01, -3.429945848914392E-04,  1.148664968295333E-02, -1.261284649491999E-02, -5.242585187541052E-06,  5.824020144240041E-03,  1.008397828561818E+00,  2.416630288192903E-04,
2378646.500000000, A.D. 1800-May-31 00:00:00.0000, -3.130905484751598E-01, -9.648982060099397E-01, -4.508193620588685E-04,  1.608506755280099E-02, -5.365506649833608E-03, -1.416878575927008E-06,  5.858819827418406E-03,  1.014423206922916E+00,  1.390797806929570E-04,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000,  1.881942364383117E-01, -9.992089380512761E-01, -4.455915490620733E-04,  1.662359447741973E-02,  3.129255925615092E-03,  2.676855535018992E-06,  5.872415063982690E-03,  1.016777149163959E+00,  1.655216613396653E-06,
2378706.500000000, A.D. 1800-Jul-30 00:00:00.0000,  6.427611439360262E-01, -7.854151699017877E-01, -3.296298420688881E-04,  1.302688699798569E-02,  1.083858855629439E-02,  5.987255117348520E-06,  5.861564949967638E-03,  1.014898510158349E+00, -1.375675063736936E-04,
