API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Wed Apr 15 12:09:42 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Sun (10)                        {source: jup365_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1800-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 1899-Dec-18 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -2.950324611013124E-02,  5.132250502101628E+00, -1.979012435379294E-02, -7.639875215113676E-03,  3.092295767620661E-04,  1.704990917553819E-04,  2.964211698736086E-02,  5.132373457463455E+00,  3.524822552546707E-04,
2378526.500000000, A.D. 1800-Jan-31 00:00:00.0000, -2.585955050579302E-01,  5.136449422215299E+00, -1.465820338783214E-02, -7.631256186823451E-03, -2.805763529496552E-05,  1.715912715916785E-04,  2.970335049769099E-02,  5.142975711116922E+00,  3.551983921586935E-04,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000, -4.871801268180280E-01,  5.130583027951125E+00, -9.497611164775835E-03, -7.606454613867425E-03, -3.624695728378542E-04,  1.723850374586508E-04,  2.976511691427172E-02,  5.153670234627396E+00,  3.578801038568696E-04,
2378586.500000000, A.D. 1800-Apr-01 00:00:00.0000, -7.148164138120988E-01,  5.114726534717644E+00, -4.318486306215777E-03, -7.567164162705402E-03, -6.936668907292333E-04,  1.728514834676155E-04,  2.982730009130385E-02,  5.164436917973142E+00,  3.602464837948720E-04,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -9.410716590584355E-01,  5.088973696416273E+00,  8.690499447414150E-04, -7.513038113159750E-03, -1.021422178347488E-03,  1.729842317945853E-04,  2.988978324183658E-02,  5.175255540120459E+00,  3.618115010157406E-04,
2378646.500000000, A.D. 1800-May-31 00:00:00.0000, -1.165520788875771E+00,  5.053438153778862E+00,  6.055101895229615E-03, -7.446476594480986E-03, -1.345392215870273E-03,  1.727656290116585E-04,  2.995245979594598E-02,  5.186107649059020E+00,  3.627408376487343E-04,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -1.387746624006342E+00,  5.008246874439493E+00,  1.122971543309105E-02, -7.365899355066283E-03, -1.665812318408864E-03,  1.721834129586030E-04,  3.001519904437498E-02,  5.196970613182516E+00,  3.619678340392967E-04,
2378706.500000000, A.D. 1800-Jul-30 00:00:00.0000, -1.607338833292456E+00,  4.953544153654038E+00,  1.638303037606844E-02, -7.271581539929687E-03, -1.980251357839435E-03,  1.713154129130567E-04,  3.007786933583309E-02,  5.207821637776620E+00,  3.612718807719049E-04,
