API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Wed Apr 15 10:21:17 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar099}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2300-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2399-Dec-18 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2561117.500000000, A.D. 2300-Jan-01 00:00:00.0000, -1.644574496557204E+00,  2.276639910798676E-01,  4.413535442767100E-02, -1.421722578852605E-03, -1.265150476931796E-02, -2.322366392503250E-04,  9.592237236239105E-03,  1.660844392792791E+00, -3.326098600025188E-04,
2561147.500000000, A.D. 2300-Jan-31 00:00:00.0000, -1.638892219423595E+00, -1.548037401767943E-01,  3.595033655323307E-02,  1.812647754661718E-03, -1.272149452160812E-02, -3.110929218479290E-04,  9.509850580528341E-03,  1.646579585552491E+00, -6.149616290713365E-04,
2561177.500000000, A.D. 2300-Mar-02 00:00:00.0000, -1.535812214814279E+00, -5.279383922295959E-01,  2.563149878651451E-02,  5.046590621925084E-03, -1.202311269220549E-02, -3.737663293127317E-04,  9.380720332533114E-03,  1.624221376196224E+00, -8.697908720584778E-04,
2561207.500000000, A.D. 2300-Apr-01 00:00:00.0000, -1.337715509219482E+00, -8.682019041469263E-01,  1.373121386012231E-02,  8.117586623434302E-03, -1.052664679621374E-02, -4.157448947616540E-04,  9.210903171097476E-03,  1.594818446157668E+00, -1.081925918943377E-03,
2561237.500000000, A.D. 2300-May-01 00:00:00.0000, -1.052317238117446E+00, -1.151487579773863E+00,  9.413952219009090E-04,  1.083132248151257E-02, -8.226723063649395E-03, -4.322664668671969E-04,  9.009246025921281E-03,  1.559902593830000E+00, -1.234323777699657E-03,
2561267.500000000, A.D. 2300-May-31 00:00:00.0000, -6.936984468974579E-01, -1.354152970244623E+00, -1.190344425783387E-02,  1.295783152376848E-02, -5.164104854794478E-03, -4.186843886719725E-04,  8.787692643141769E-03,  1.521541814750906E+00, -1.308446386316526E-03,
2561297.500000000, A.D. 2300-Jun-30 00:00:00.0000, -2.832922897850461E-01, -1.454844809102035E+00, -2.384102833934005E-02,  1.423981470451784E-02, -1.456305321821302E-03, -3.713164270046402E-04,  8.561407415734999E-03,  1.482361742171954E+00, -1.286109089395270E-03,
2561327.500000000, A.D. 2300-Jul-30 00:00:00.0000,  1.496798131021948E-01, -1.437313755431964E+00, -3.383025216607601E-02,  1.442270418719498E-02,  2.668705796873634E-03, -2.888733615545062E-04,  8.348410089492270E-03,  1.445482398359061E+00, -1.153391578553362E-03,
