API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Wed Apr 15 12:10:04 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2099-Dec-17 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000, -1.407280797108344E-01, -4.439009580270337E-01, -2.334555919971206E-02,  2.116887135892671E-02, -7.097975420557316E-03, -2.522831030718983E-03,  2.692887482273012E-03,  4.662590139512207E-01,  4.946614811246155E-04,
2451574.500000000, A.D. 2000-Jan-31 00:00:00.0000,  3.600851316876587E-01, -6.394250667843906E-02, -3.827405750376789E-02, -5.279645644145534E-04,  2.896405316722181E-02,  2.414539701452948E-03,  2.123748873493568E-03,  3.677157185933755E-01, -5.804920693429318E-03,
2451604.500000000, A.D. 2000-Mar-01 00:00:00.0000, -3.316441476770851E-01,  1.310913447936722E-01,  4.114897511200338E-02, -1.614516264277760E-02, -2.496433815079347E-02, -5.574540830791041E-04,  2.073290576048353E-03,  3.589791352168563E-01,  5.735434674402251E-03,
2451634.500000000, A.D. 2000-Mar-31 00:00:00.0000, -9.698089808179097E-02, -4.556217239009593E-01, -2.831851911005509E-02,  2.187279985766299E-02, -4.434213916558477E-03, -2.369837233372618E-03,  2.695369424706064E-03,  4.666887489621100E-01, -7.244508046451944E-05,
2451664.500000000, A.D. 2000-Apr-30 00:00:00.0000,  3.544606494603583E-01, -4.565276490608280E-03, -3.290722986563756E-02, -5.071240016150866E-03,  2.939373130849603E-02,  2.866655384616141E-03,  2.056166286421833E-03,  3.560141563796652E-01, -5.691007482676000E-03,
2451694.500000000, A.D. 2000-May-30 00:00:00.0000, -3.600689093537177E-01,  7.893507812103827E-02,  3.949728923978325E-02, -1.185702611719980E-02, -2.627228016566595E-02, -1.057895984951716E-03,  2.141155332713093E-03,  3.707295535810994E-01,  5.809512434054279E-03,
2451724.500000000, A.D. 2000-Jun-29 00:00:00.0000, -5.207121229462375E-02, -4.618738834796981E-01, -3.295129213657771E-02,  2.231452528218181E-02, -1.714807327866369E-03, -2.188223617968607E-03,  2.691197467154084E-03,  4.659663969042399E-01, -6.391337863930024E-04,
2451754.500000000, A.D. 2000-Jul-29 00:00:00.0000,  3.392755621260533E-01,  5.490082888330196E-02, -2.665542080641702E-02, -9.931251795727666E-03,  2.903405185012317E-02,  3.283344777440463E-03,  1.990942049995371E-03,  3.447209299221476E-01, -5.404245284190640E-03,
