API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Wed Apr 15 12:10:01 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Neptune (899)                   {source: nep097_merged}
Center body name: Sun (10)                        {source: nep097_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 1999-Dec-18 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2415020.500000000, A.D. 1900-Jan-01 00:00:00.0000,  1.514877102629975E+00,  2.982557057050231E+01, -6.491145131369999E-01, -3.146263576465902E-03,  1.758499873361917E-04,  6.860289273649431E-05,  1.725209161541034E-01,  2.987107065612565E+01,  1.453220167329944E-05,
2415050.500000000, A.D. 1900-Jan-31 00:00:00.0000,  1.420496186618215E+00,  2.983070904981539E+01, -6.470486086181849E-01, -3.146722257727096E-03,  1.664044217068723E-04,  6.903057738576102E-05,  1.725235090879169E-01,  2.987151960869834E+01,  1.504405493693282E-05,
2415080.500000000, A.D. 1900-Mar-02 00:00:00.0000,  1.326105143603471E+00,  2.983555657399910E+01, -6.449761816864640E-01, -3.146920956988435E-03,  1.569527501667832E-04,  6.943079839769945E-05,  1.725261483737849E-01,  2.987197658688047E+01,  1.556118581158938E-05,
2415110.500000000, A.D. 1900-Apr-01 00:00:00.0000,  1.231705746726080E+00,  2.984011274706565E+01, -6.428973697328094E-01, -3.146878769960822E-03,  1.474093081789454E-04,  6.972332260214344E-05,  1.725288319085623E-01,  2.987244122652378E+01,  1.599657578977494E-05,
2415140.500000000, A.D. 1900-May-01 00:00:00.0000,  1.137299906969867E+00,  2.984437853849227E+01, -6.408123209588995E-01, -3.146748574684964E-03,  1.377555145278788E-04,  6.987805909494199E-05,  1.725315654177824E-01,  2.987291451897361E+01,  1.632422368917349E-05,
2415170.500000000, A.D. 1900-May-31 00:00:00.0000,  1.042888180752196E+00,  2.984835530323501E+01, -6.387211107214331E-01, -3.146704190705575E-03,  1.279792077000389E-04,  6.991599493471355E-05,  1.725343564814512E-01,  2.987339777666731E+01,  1.652478354808018E-05,
2415200.500000000, A.D. 1900-Jun-30 00:00:00.0000,  9.484704562759526E-01,  2.985204384189739E+01, -6.366238059278839E-01, -3.146852056817984E-03,  1.181304723951573E-04,  6.990628912689428E-05,  1.725372093681969E-01,  2.987389173869495E+01,  1.664449450872504E-05,
2415230.500000000, A.D. 1900-Jul-30 00:00:00.0000,  8.540461658921736E-01,  2.985544488673548E+01, -6.345203631247620E-01, -3.147249949908666E-03,  1.083034288351849E-04,  6.994489838703679E-05,  1.725401279216577E-01,  2.987439707056186E+01,  1.677586444012597E-05,
