API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Wed Apr 15 10:20:18 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Uranus (799)                    {source: ura184_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1700-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 1799-Dec-18 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2341972.500000000, A.D. 1700-Jan-01 00:00:00.0000, -4.230774951188299E+00,  1.831343949841483E+01,  1.248732210598278E-01, -3.857543347291041E-03, -1.062940843587428E-03,  4.622028871914447E-05,  1.085577948699632E-01,  1.879619951668530E+01, -1.670515033356828E-04,
2342002.500000000, A.D. 1700-Jan-31 00:00:00.0000, -4.346419028320700E+00,  1.828118854084229E+01,  1.262562158290953E-01, -3.851958654578123E-03, -1.087134015268992E-03,  4.600343765895330E-05,  1.085289133121909E-01,  1.879119882997377E+01, -1.663580550694879E-04,
2342032.500000000, A.D. 1700-Mar-02 00:00:00.0000, -4.461892365420519E+00,  1.824821207495243E+01,  1.276344813164154E-01, -3.846065053869208E-03, -1.111334989706456E-03,  4.586861939220237E-05,  1.085001512380017E-01,  1.878621883120333E+01, -1.657222184111313E-04,
2342062.500000000, A.D. 1700-Apr-01 00:00:00.0000, -4.577190030492084E+00,  1.821451028731734E+01,  1.290072177195476E-01, -3.840318903935981E-03, -1.135480336480817E-03,  4.557702325019119E-05,  1.084715066904642E-01,  1.878125918154182E+01, -1.649766436828714E-04,
2342092.500000000, A.D. 1700-May-01 00:00:00.0000, -4.692307686735219E+00,  1.818008388866341E+01,  1.303750093179877E-01, -3.834210730773886E-03, -1.159582815470018E-03,  4.566186862116493E-05,  1.084429813606874E-01,  1.877632017379572E+01, -1.642528025423020E-04,
2342122.500000000, A.D. 1700-May-31 00:00:00.0000, -4.807238928033765E+00,  1.814493432310695E+01,  1.317377798407396E-01, -3.827865702368286E-03, -1.183683397905564E-03,  4.536108507118937E-05,  1.084145778189441E-01,  1.877140225299392E+01, -1.635688526950747E-04,
2342152.500000000, A.D. 1700-Jun-30 00:00:00.0000, -4.921980439793565E+00,  1.810906367110740E+01,  1.330951638765020E-01, -3.821536645887067E-03, -1.207676785260159E-03,  4.523528970484260E-05,  1.083863064012592E-01,  1.876650720876370E+01, -1.627551970705273E-04,
2342182.500000000, A.D. 1700-Jul-30 00:00:00.0000, -5.036528307461751E+00,  1.807247295078047E+01,  1.344473019310519E-01, -3.814996286473531E-03, -1.231694902969105E-03,  4.487933848130202E-05,  1.083581705877152E-01,  1.876163564366263E+01, -1.620009139711299E-04,
