API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Wed Apr 15 10:21:24 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2400-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2499-Dec-17 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2597641.500000000, A.D. 2400-Jan-01 00:00:00.0000, -2.679097487588972E-01, -6.741602458926481E-01,  5.415670737695765E-03,  1.866097986025685E-02, -7.554007822787236E-03, -1.182308504518283E-03,  4.189926589784709E-03,  7.254633003203058E-01,  1.195792422853467E-04,
2597671.500000000, A.D. 2400-Jan-31 00:00:00.0000,  3.172281724344146E-01, -6.545922096281096E-01, -2.786973417809872E-02,  1.806799321670931E-02,  8.754423137061979E-03, -9.074199967348676E-04,  4.204249668540906E-03,  7.279432645303119E-01,  3.625122694028232E-05,
2597701.500000000, A.D. 2400-Mar-01 00:00:00.0000,  6.957111570508735E-01, -2.079612950023647E-01, -4.299014832031697E-02,  5.690186042144538E-03,  1.929095141044831E-02, -4.158165467096157E-05,  4.201109283557722E-03,  7.273995237259430E-01, -7.046707999635838E-05,
2597731.500000000, A.D. 2400-Mar-31 00:00:00.0000,  6.193653972373497E-01,  3.740582797204554E-01, -3.001357260370697E-02, -1.051704669609219E-02,  1.722771200652660E-02,  8.578909871142371E-04,  4.182503835721939E-03,  7.241780902946764E-01, -1.318389256944885E-04,
2597761.500000000, A.D. 2400-Apr-30 00:00:00.0000,  1.339387483866601E-01,  7.078133883359428E-01,  2.768698189603945E-03, -1.994025906331131E-02,  3.660508063191988E-03,  1.198200554300229E-03,  4.160566702288828E-03,  7.203797933844747E-01, -1.061929709908015E-04,
2597791.500000000, A.D. 2400-May-30 00:00:00.0000, -4.404853494392195E-01,  5.666984103045313E-01,  3.364396407633998E-02, -1.603843310203508E-02, -1.252101589829583E-02,  7.353291127621030E-04,  4.149967531125454E-03,  7.185446037867408E-01, -8.636359201340345E-06,
2597821.500000000, A.D. 2400-Jun-29 00:00:00.0000, -7.174212812492166E-01,  4.297039992893488E-02,  4.179888959041473E-02, -1.322632205965981E-03, -2.027735125215334E-02, -2.235950512912076E-04,  4.157919543944857E-03,  7.199214521253772E-01,  9.475002301683117E-05,
2597851.500000000, A.D. 2400-Jul-29 00:00:00.0000, -5.124285490433144E-01, -5.103821292998356E-01,  2.186406985519166E-02,  1.413315966702889E-02, -1.442326725845245E-02, -1.023957973217527E-03,  4.178981535975907E-03,  7.235682229989810E-01,  1.337198919546574E-04,
