API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Fri Apr  3 11:29:37 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1600-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 1699-Dec-17 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2305447.500000000, A.D. 1600-Jan-01 00:00:00.0000,  2.737813604833304E-01, -3.164421022612743E-01, -5.109324513447672E-02,  1.569913326681141E-02,  1.982453112822416E-02,  1.519305016671896E-04,  2.434655741105149E-03,  4.215475739818814E-01, -4.703974087662287E-03,
2305477.500000000, A.D. 1600-Jan-31 00:00:00.0000, -7.417657706227275E-02,  3.028848754258947E-01,  3.146724864010850E-02, -3.295027475948797E-02, -5.598887731087778E-03,  2.603758879080774E-03,  1.810158382518996E-03,  3.134192082234486E-01,  2.649018593082315E-03,
2305507.500000000, A.D. 1600-Mar-01 00:00:00.0000, -2.934233820135300E-01, -3.461380693965140E-01, -8.603215587055351E-04,  1.576766648520731E-02, -1.682770702567056E-02, -2.829205861182054E-03,  2.620772044953743E-03,  4.537726130464335E-01,  2.645690788655829E-03,
2305537.500000000, A.D. 1600-Mar-31 00:00:00.0000,  3.032871993215541E-01, -2.736705490561834E-01, -5.036034791974699E-02,  1.329648159032860E-02,  2.227773693231817E-02,  5.740544250343025E-04,  2.377205445338045E-03,  4.116003636242598E-01, -5.085071834668314E-03,
2305567.500000000, A.D. 1600-Apr-30 00:00:00.0000, -1.392258321809066E-01,  2.857096551544710E-01,  3.611072149121382E-02, -3.092697748638623E-02, -1.119959322733523E-02,  1.961385544595242E-03,  1.847424137070572E-03,  3.198715736066097E-01,  3.679068109737909E-03,
2305597.500000000, A.D. 1600-May-30 00:00:00.0000, -2.595733898978381E-01, -3.780100639331943E-01, -6.589047223418514E-03,  1.751954194345286E-02, -1.453477213183082E-02, -2.805696576264593E-03,  2.648648983569504E-03,  4.585993553431418E-01,  2.104604175908133E-03,
2305627.500000000, A.D. 1600-Jun-29 00:00:00.0000,  3.274907141358441E-01, -2.261072485537627E-01, -4.874625346827074E-02,  1.046417807814192E-02,  2.451786793695009E-02,  1.018753615749872E-03,  2.315621693850955E-03,  4.009374675943259E-01, -5.403353652495307E-03,
2305657.500000000, A.D. 1600-Jul-29 00:00:00.0000, -1.991391152088016E-01,  2.579138916089861E-01,  3.941532743717056E-02, -2.793171811031502E-02, -1.602610417289674E-02,  1.291635634096320E-03,  1.895650853160455E-03,  3.282217706490774E-01,  4.508698416646504E-03,
