API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Fri Apr  3 11:30:00 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Neptune (899)                   {source: nep097_merged}
Center body name: Sun (10)                        {source: nep097_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1800-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 1899-Dec-18 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000, -2.031023509731074E+01, -2.249417498363853E+01,  9.309123046265279E-01,  2.301750319835624E-03, -2.086265088912619E-03, -1.006790573533101E-05,  1.751192165250611E-01,  3.032095241943247E+01,  5.618210846336873E-06,
2378526.500000000, A.D. 1800-Jan-31 00:00:00.0000, -2.024106869558795E+01, -2.255666076114689E+01,  9.306064732048528E-01,  2.308409292533224E-03, -2.079151334505201E-03, -1.024884729040933E-05,  1.751201383878806E-01,  3.032111203503171E+01,  5.425348911995430E-06,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000, -2.017170572251037E+01, -2.261894097035094E+01,  9.302917654721913E-01,  2.315224680107746E-03, -2.072093416807094E-03, -1.046635622366737E-05,  1.751210726920507E-01,  3.032127380478405E+01,  5.170989424317801E-06,
2378586.500000000, A.D. 1800-Apr-01 00:00:00.0000, -2.010214705895581E+01, -2.268101408670134E+01,  9.299681999991207E-01,  2.322065147380668E-03, -2.065196256834147E-03, -1.075571036849915E-05,  1.751220167041632E-01,  3.032143725541453E+01,  5.021129112136045E-06,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000, -2.003239359845986E+01, -2.274287931363505E+01,  9.296357330383647E-01,  2.328797032333268E-03, -2.058458327784005E-03, -1.112167260551010E-05,  1.751229708093275E-01,  3.032160245360272E+01,  5.064094296569310E-06,
2378646.500000000, A.D. 1800-May-31 00:00:00.0000, -1.996244657498279E+01, -2.280453604469490E+01,  9.292943782130664E-01,  2.335296078364252E-03, -2.051818737459287E-03, -1.153291230335079E-05,  1.751239374843698E-01,  3.032176982819785E+01,  5.337211013951513E-06,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000, -1.989230692886851E+01, -2.286598449488055E+01,  9.289441094442510E-01,  2.341566318512477E-03, -2.045163192170874E-03, -1.194285549906425E-05,  1.751249216163601E-01,  3.032194022536980E+01,  5.752260342397596E-06,
2378706.500000000, A.D. 1800-Jul-30 00:00:00.0000, -1.982197435146962E+01, -2.292722458877721E+01,  9.285848426318204E-01,  2.347703559221952E-03, -2.038331659196034E-03, -1.230541316222628E-05,  1.751259221040861E-01,  3.032211345444963E+01,  6.125608005033602E-06,
