API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Fri Apr  3 11:26:31 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Neptune (899)                   {source: nep097_merged}
Center body name: Sun (10)                        {source: nep097_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1700-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 1799-Dec-18 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2341972.500000000, A.D. 1700-Jan-01 00:00:00.0000,  2.950101277175138E+01,  4.607057872842651E+00, -7.742039670850409E-01, -4.986227772068184E-04,  3.123350769621655E-03, -5.274731368075439E-05,  1.725067302347805E-01,  2.986861444033535E+01, -9.360393562401685E-06,
2342002.500000000, A.D. 1700-Jan-31 00:00:00.0000,  2.948591741970024E+01,  4.700730994988953E+00, -7.757838972161402E-01, -5.083192227309613E-04,  3.122298205275357E-03, -5.250237766193890E-05,  1.725051746171380E-01,  2.986834509349006E+01, -9.054541694656614E-06,
2342032.500000000, A.D. 1700-Mar-02 00:00:00.0000,  2.947052324099927E+01,  4.794365789434331E+00, -7.773559788727232E-01, -5.179459026217865E-04,  3.120994184142592E-03, -5.226919733497149E-05,  1.725036206365221E-01,  2.986807603008713E+01, -8.715567818881422E-06,
2342062.500000000, A.D. 1700-Apr-01 00:00:00.0000,  2.945483029662548E+01,  4.887960777345236E+00, -7.789201865049343E-01, -5.276384810764088E-04,  3.119433083931706E-03, -5.203794640127211E-05,  1.725020678182210E-01,  2.986780716793278E+01, -8.480768203811405E-06,
2342092.500000000, A.D. 1700-May-01 00:00:00.0000,  2.943883904613537E+01,  4.981514570775628E+00, -7.804765654826435E-01, -5.374883029782088E-04,  3.117723075555163E-03, -5.179612157136215E-05,  1.725005179996121E-01,  2.986753882515902E+01, -8.424632991627389E-06,
2342122.500000000, A.D. 1700-May-31 00:00:00.0000,  2.942255004377816E+01,  5.075027063774686E+00, -7.820251372465827E-01, -5.475567043029338E-04,  3.116048166045268E-03, -5.153357732744331E-05,  1.724989747579993E-01,  2.986727162115684E+01, -8.577455946472285E-06,
2342152.500000000, A.D. 1700-Jun-30 00:00:00.0000,  2.940596248139670E+01,  5.168498528491458E+00, -7.835658239225468E-01, -5.578262095576799E-04,  3.114517079540722E-03, -5.124970740063669E-05,  1.724974343244180E-01,  2.986700490335025E+01, -8.902202563677173E-06,
2342182.500000000, A.D. 1700-Jul-30 00:00:00.0000,  2.938907502763841E+01,  5.261928379483796E+00, -7.850985721885348E-01, -5.681683480792593E-04,  3.113168161347120E-03, -5.095510734242447E-05,  1.724958891700595E-01,  2.986673736816643E+01, -9.263466789230512E-06,
