API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Fri Apr  3 11:30:22 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Neptune (899)                   {source: nep097_merged}
Center body name: Sun (10)                        {source: nep097_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2099-Dec-17 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000,  1.681075772645342E+01, -2.499265127854981E+01,  1.272705717411974E-01,  2.579216842393203E-03,  1.776355179312822E-03, -9.620004297114809E-05,  1.739620627571993E-01,  3.012059745534843E+01, -3.484258630583566E-05,
2451574.500000000, A.D. 2000-Jan-31 00:00:00.0000,  1.688805276330357E+01, -2.493923006710774E+01,  1.243926736722378E-01,  2.573244912393069E-03,  1.784313416125488E-03, -9.600193765228952E-05,  1.739559847620471E-01,  3.011954508311040E+01, -3.500215152576526E-05,
2451604.500000000, A.D. 2000-Mar-01 00:00:00.0000,  1.696517533704517E+01, -2.488557216359273E+01,  1.215139414403212E-01,  2.567408786376939E-03,  1.792404289357551E-03, -9.577669861769471E-05,  1.739499104668210E-01,  3.011849335149472E+01, -3.519778556519019E-05,
2451634.500000000, A.D. 2000-Mar-31 00:00:00.0000,  1.704212481990757E+01, -2.483167788115535E+01,  1.186343930885261E-01,  2.561740536283963E-03,  1.800545518151274E-03, -9.563222653438723E-05,  1.739438389678554E-01,  3.011744210403654E+01, -3.534196592791309E-05,
2451664.500000000, A.D. 2000-Apr-30 00:00:00.0000,  1.711890002814518E+01, -2.477754786320397E+01,  1.157540485055974E-01,  2.556175657091995E-03,  1.808588211858679E-03, -9.564282608932783E-05,  1.739377691047675E-01,  3.011639113982181E+01, -3.534741249065100E-05,
2451694.500000000, A.D. 2000-May-30 00:00:00.0000,  1.719550004582127E+01, -2.472318381800202E+01,  1.128728265344855E-01,  2.550631306115656E-03,  1.816419240077699E-03, -9.581786153709008E-05,  1.739317055998553E-01,  3.011534127649106E+01, -3.516816379240316E-05,
2451724.500000000, A.D. 2000-Jun-29 00:00:00.0000,  1.727192509823029E+01, -2.466858726447192E+01,  1.099905820828900E-01,  2.545005987124389E-03,  1.824054628015052E-03, -9.609463109047464E-05,  1.739256559836648E-01,  3.011429381791794E+01, -3.487604567293084E-05,
2451754.500000000, A.D. 2000-Jul-29 00:00:00.0000,  1.734817517684343E+01, -2.461375887176173E+01,  1.071072829284830E-01,  2.539201128945649E-03,  1.831545371853567E-03, -9.637145107695043E-05,  1.739196229993206E-01,  3.011324923905974E+01, -3.457057148896335E-05,
