API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Fri Apr  3 11:30:57 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar099}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2400-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2499-Dec-17 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2597641.500000000, A.D. 2400-Jan-01 00:00:00.0000, -1.115517610282874E+00, -1.102243399825465E+00,  3.219800476797593E-03,  1.032782122412788E-02, -8.736271463221071E-03, -4.289429864037667E-04,  9.057313649159340E-03,  1.568225244799077E+00, -1.206937593345231E-03,
2597671.500000000, A.D. 2400-Jan-31 00:00:00.0000, -7.701500271993708E-01, -1.322468661120940E+00, -9.608689236535560E-03,  1.258670716479703E-02, -5.822149787487297E-03, -4.210842389268837E-04,  8.838895881893696E-03,  1.530407380716340E+00, -1.300304865551118E-03,
2597701.500000000, A.D. 2400-Mar-01 00:00:00.0000, -3.682136572024312E-01, -1.444794773687162E+00, -2.171513895357164E-02,  1.405543449283616E-02, -2.233737919518382E-03, -3.802799685878279E-04,  8.612079840357827E-03,  1.491135400519986E+00, -1.300922929757955E-03,
2597731.500000000, A.D. 2400-Mar-31 00:00:00.0000,  6.268168242631766E-02, -1.451728889526521E+00, -3.207630077081031E-02,  1.447617714741665E-02,  1.826662019200140E-03, -3.046839457256558E-04,  8.394343171964337E-03,  1.453435465051283E+00, -1.193485224352816E-03,
2597761.500000000, A.D. 2400-Apr-30 00:00:00.0000,  4.877296106288433E-01, -1.333743037112844E+00, -3.966620634200110E-02,  1.363840703738319E-02,  6.027983954881344E-03, -1.962816589295806E-04,  8.205147950440209E-03,  1.420677327916766E+00, -9.714668474015127E-04,
2597791.500000000, A.D. 2400-May-30 00:00:00.0000,  8.674966238224180E-01, -1.093139476291241E+00, -4.359853575959876E-02,  1.145880440796520E-02,  9.918284310506186E-03, -6.262511714900543E-05,  8.063842189415322E-03,  1.396210993829358E+00, -6.437878089387835E-04,
2597821.500000000, A.D. 2400-Jun-29 00:00:00.0000,  1.162996832952470E+00, -7.468366531300784E-01, -4.330571613675417E-02,  8.061381075552923E-03,  1.299183380824099E-02,  8.268437292920528E-05,  7.986524922586223E-03,  1.382823924064857E+00, -2.393636091339161E-04,
2597851.500000000, A.D. 2400-Jul-29 00:00:00.0000,  1.342544010201132E+00, -3.262166605220002E-01, -3.869804222975553E-02,  3.806528452726241E-03,  1.481369591126895E-02,  2.219400228636639E-04,  7.982634009203668E-03,  1.382150233296467E+00,  1.948912012882491E-04,
